Date,AAPL,BA,DIS,JNJ,JPM,NEE,PG,XOM
2022-03-11,153.3787841796875,176.22999572753906,131.75,162.47340393066406,122.95757293701172,76.54776000976562,137.89146423339844,80.58895874023438
2022-03-14,149.3046417236328,175.52000427246094,129.02999877929688,164.7183837890625,124.17864990234375,76.5284423828125,139.65338134765625,77.7040023803711
2022-03-15,153.73562622070312,179.88999938964844,134.1999969482422,168.9876708984375,126.38233947753906,79.13472747802734,144.6791534423828,73.28166961669922
2022-03-16,158.19631958007812,188.99000549316406,138.13999938964844,167.4334716796875,132.02984619140625,79.64633178710938,144.18812561035156,73.00645446777344
2022-03-17,159.2173309326172,190.19000244140625,139.47000122070312,169.62088012695312,133.6992950439453,79.82008361816406,144.64064025878906,74.95191955566406
2022-03-18,162.54798889160156,192.8300018310547,140.3000030517578,167.74046325683594,133.65162658691406,79.51119232177734,144.56361389160156,74.65771484375
2022-03-21,163.93577575683594,185.89999389648438,138.6199951171875,168.6902618408203,133.2223358154297,78.96098327636719,145.1124267578125,78.00768280029297
2022-03-22,167.3457489013672,191.0399932861328,140.11000061035156,167.8939666748047,136.0556182861328,79.97454071044922,146.229248046875,77.66604614257812
2022-03-23,168.72361755371094,186.0399932861328,137.63999938964844,167.26077270507812,133.34634399414062,79.70425415039062,145.20870971679688,78.89024353027344
2022-03-24,172.54989624023438,189.0500030517578,138.9600067138672,168.1242218017578,134.21446228027344,80.79502868652344,145.4590301513672,79.12750244140625
2022-03-25,173.1942138671875,188.9499969482422,139.13999938964844,169.7360076904297,135.38783264160156,81.0267105102539,147.14390563964844,80.85467529296875
2022-03-28,174.0665283203125,188.16000366210938,138.72000122070312,170.6090545654297,134.38616943359375,81.49970245361328,148.15484619140625,78.58657836914062
2022-03-29,177.39720153808594,193.8000030517578,142.3800048828125,170.522705078125,134.681884765625,81.68311309814453,149.6760711669922,78.16902923583984
2022-03-30,176.21759033203125,194.91000366210938,140.9600067138672,172.29759216308594,134.07135009765625,82.53256225585938,148.6458740234375,79.5071029663086
2022-03-31,173.08518981933594,191.5,137.16000366210938,170.03341674804688,130.0455780029297,81.76998138427734,147.1150360107422,78.37779235839844
2022-04-01,172.78781127929688,190.75999450683594,137.0,170.95443725585938,129.08206176757812,82.73527526855469,149.31983947753906,78.8807601928711
2022-04-04,176.88172912597656,191.17999267578125,138.5800018310547,169.30426025390625,129.6544647216797,82.64839935302734,148.347412109375,78.91873168945312
2022-04-05,173.53123474121094,182.64999389648438,135.6199951171875,170.3979949951172,128.14561462402344,83.33375549316406,148.8673095703125,78.51065826416016
2022-04-06,170.32945251464844,178.72000122070312,132.57000732421875,174.83038330078125,126.36771392822266,83.48819732666016,150.99508666992188,79.38374328613281
2022-04-07,170.63674926757812,177.97000122070312,131.8699951171875,174.3794708251953,125.98326873779297,84.05773162841797,152.94955444335938,80.71234130859375
2022-04-08,168.60464477539062,175.1999969482422,131.8699951171875,174.72483825683594,128.28976440429688,83.10208129882812,154.1434326171875,82.41104125976562
2022-04-11,164.30255126953125,175.02999877929688,130.64999389648438,172.53741455078125,127.81888580322266,81.64449310302734,153.55612182617188,79.57353210449219
2022-04-12,166.1958770751953,176.27999877929688,130.83999633789062,172.594970703125,126.4157485961914,80.97843933105469,153.09397888183594,81.2342758178711
2022-04-13,168.9119415283203,182.8699951171875,132.35000610351562,173.3241424560547,122.3409194946289,80.6502456665039,153.5272674560547,82.382568359375
2022-04-14,163.84654235839844,181.94000244140625,130.47000122070312,172.594970703125,121.2068862915039,79.93592071533203,152.6703643798828,83.35055541992188
2022-04-18,163.62847900390625,179.85000610351562,127.7699966430664,170.4459686279297,123.45573425292969,78.87409973144531,151.21653747558594,84.0338363647461
2022-04-19,165.9381103515625,185.97999572753906,131.89999389648438,175.6458740234375,126.01210021972656,78.98993682861328,153.47911071777344,83.28411865234375
2022-04-20,165.76962280273438,183.5500030517578,124.56999969482422,176.42298889160156,126.45418548583984,78.68103790283203,157.5613555908203,83.47391510009766
2022-04-21,164.96669006347656,181.02000427246094,121.66000366210938,175.9145050048828,125.47391510009766,73.5360336303711,157.4384002685547,82.59133911132812
2022-04-22,160.3771209716797,176.9199981689453,118.2699966430664,174.1684112548828,121.87000274658203,71.3834228515625,156.1216583251953,80.78825378417969
2022-04-25,161.45762634277344,175.91000366210938,119.94999694824219,178.45687866210938,121.8315658569336,71.47029876708984,157.38031005859375,78.06462097167969
2022-04-26,155.43072509765625,167.0399932861328,115.7699966430664,177.180908203125,118.22765350341797,71.01661682128906,154.70806884765625,78.09309387207031
2022-04-27,155.20272827148438,154.4600067138672,115.20999908447266,174.70565795898438,116.68997192382812,70.7270278930664,154.291748046875,80.32324981689453
2022-04-28,162.2109832763672,154.22000122070312,115.29000091552734,176.01043701171875,118.53518676757812,70.93939208984375,158.21295166015625,82.75267028808594
2022-04-29,156.2732696533203,148.83999633789062,111.62999725341797,173.13226318359375,114.7102279663086,68.55511474609375,155.44390869140625,80.90213012695312
2022-05-02,156.58056640625,148.61000061035156,113.5,171.3861541748047,115.75775909423828,67.44503021240234,153.34292602539062,82.00296783447266
2022-05-03,158.08726501464844,153.5800018310547,113.55000305175781,171.05035400390625,118.23725891113281,68.30415344238281,151.24195861816406,83.69219207763672
